name|displayName|address|phone|fax|website|orgId|parentId|created_at|updated_at|zipCode|stateCode|created
GR34|Madiera Satellite|||||43|124|||||2018-12-07 05:20:55
GR17|Mason Satellite|||||43|124|||||2018-12-07 05:20:55
GR18|Miami Trace Satellite|||||43|124|||||2018-12-07 05:20:55
GR19|Milford Satelllite|||||43|124|||||2018-12-07 05:20:55
GR20|Mt. Healthy Satellite|||||43|124|||||2018-12-07 05:20:55
GR21|North College Hill Satellite|||||43|124|||||2018-12-07 05:20:55
GR35|Princeton Satellite|||||43|124|||||2018-12-07 05:20:55
GR22|Reading Satellite|||||43|124|||||2018-12-07 05:20:55
GR24|Taylor Satellite|||||43|124|||||2018-12-07 05:20:55
GR28|West Clermont Satellite|||||43|124|||||2018-12-07 05:20:55
GR33|Wilmington Satellite|||||43|124|||||2018-12-07 05:20:55
district96||63 Woodside Rd|7084477007|||44|0|2018-04-30 16:09:08|2018-04-30 16:09:08|||2018-12-07 05:20:55
Ames Students||123 test st|1234567899|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
Blythe Park Students||123 test|1122998877|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
Central School||111 test st|0099998888|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
Hollywood School||222 test st|1112223333|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
Hauser School||33 test|2223334444|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
Staff||1 test st|99988877777|||44|155|2018-05-02 01:50:55|2018-05-02 01:50:55|||2018-12-07 05:20:55
riverdell||55 Pyle Street|0123456789|||49|0|2018-10-04 13:15:58|2018-10-04 13:15:58|||2018-12-07 05:20:55
High School||55 Pyle Street, Oradell, NJ 07649|0123456788|||49|172|2018-10-04 13:21:06|2018-10-04 13:21:06|||2018-12-07 05:20:55
Staff||111 test st|1234567899|||49|172|2018-10-04 13:21:43|2018-10-04 13:21:43|||2018-12-07 05:20:55
Middle School||222 test st|8899774455|||49|172|2018-10-04 13:22:14|2018-10-04 13:22:14|||2018-12-07 05:20:55
Virtucom Inc.||5060 Avalon Ridge Pkwy, Suite 300|6789741284|||68|0|2019-03-04 19:14:04|2019-03-04 19:14:04|||2019-03-04 19:14:04
VirtucomInc||5060 Avalon Ridge Pkwy,, Suite 300|8008902611|||72|0|2019-03-07 18:39:31|2019-03-07 18:39:31|||2019-03-07 18:39:30
22d||||||73|0|2019-04-12 12:36:25|2019-04-12 12:36:25|||2019-04-12 12:36:25
